OnsetDate,CaseNum,CaseSum
2019/12/8,1,1
2019/12/9,0,1
2019/12/10,0,1
2019/12/11,1,2
2019/12/12,3,5
2019/12/13,0,5
2019/12/14,0,5
2019/12/15,4,9
2019/12/16,0,9
2019/12/17,5,14
2019/12/18,3,17
2019/12/19,2,19
2019/12/20,9,28
2019/12/21,4,32
2019/12/22,10,42
2019/12/23,5,47
2019/12/24,5,52
2019/12/25,4,56
2019/12/26,3,59
2019/12/27,13,72
2019/12/28,9,81
2019/12/29,11,92
2019/12/30,13,105
2019/12/31,10,115
2020/1/1,41,156
2020/1/2,34,190
2020/1/3,40,230
2020/1/4,23,253
2020/1/5,47,300
2020/1/6,40,340
2020/1/7,49,389
2020/1/8,91,480
2020/1/9,70,550
2020/1/10,115,665
2020/1/11,113,778
2020/1/12,135,913
2020/1/13,178,1091
2020/1/14,185,1276
2020/1/15,281,1557
2020/1/16,293,1850
2020/1/17,363,2213
2020/1/18,389,2602
2020/1/19,416,3018
2020/1/20,797,3815
2020/1/21,807,4622
2020/1/22,1019,5641
2020/1/23,1293,6934
2020/1/24,1348,8282
2020/1/25,1345,9627
2020/1/26,1424,11051
2020/1/27,1377,12428
2020/1/28,1402,13830
2020/1/29,1167,14997
2020/1/30,1251,16248
2020/1/31,1148,17396
2020/2/1,2125,19521
2020/2/2,1221,20742
2020/2/3,1060,21802
2020/2/4,991,22793
2020/2/5,1054,23847
2020/2/6,710,24557
2020/2/7,737,25294
2020/2/8,602,25896
2020/2/9,485,26381
2020/2/10,681,27062
2020/2/11,445,27507
2020/2/12,475,27982
2020/2/13,507,28489
2020/2/14,368,28857
2020/2/15,333,29190
2020/2/16,303,29493
2020/2/17,510,30003
2020/2/18,480,30483
2020/2/19,288,30771
2020/2/20,268,31039
2020/2/21,262,31301
2020/2/22,233,31534
2020/2/23,162,31696
2020/2/24,179,31875
2020/2/25,189,32064
2020/2/26,119,32183
2020/2/27,94,32277
2020/2/28,73,32350
2020/2/29,47,32397
2020/3/1,57,32454
2020/3/2,38,32492
2020/3/3,39,32531
2020/3/4,20,32551
2020/3/5,21,32572
2020/3/6,6,32578
2020/3/7,4,32582
2020/3/8,1,32583
